system,pattern_id,chain_len,chain,closed_form,observed,abs_drift
pg_naive,20,3,0.528;0.588;0.391,0.12139142400000001,0.391,0.269608576
pg_naive,21,3,0.384;0.672;0.707,0.182439936,0.384,0.201560064
pg_naive,22,2,0.875;0.765,0.669375,0.765,0.09562499999999996
pg_naive,23,3,0.796;0.677;0.561,0.30231841200000004,0.561,0.258681588
pg_naive,24,4,0.650;0.705;0.663;0.579,0.17591163524999998,0.579,0.40308836475
pg_naive,25,3,0.434;0.909;0.879,0.346770774,0.434,0.08722922599999999
pg_naive,26,2,0.574;0.497,0.285278,0.497,0.21172200000000002
pg_naive,27,3,0.454;0.459;0.440,0.09168984000000001,0.44,0.34831016
pg_naive,28,4,0.371;0.885;0.718;0.575,0.13555310475,0.371,0.23544689525
pg_naive,29,4,0.663;0.809;0.758;0.569,0.23133615983400002,0.569,0.33766384016599993
pg_naive,30,2,0.371;0.537,0.19922700000000002,0.371,0.17177299999999998
pg_naive,31,3,0.876;0.874;0.765,0.58570236,0.765,0.17929764000000004
pg_naive,32,4,0.479;0.509;0.554;0.665,0.08982241051,0.479,0.38917758949
pg_naive,33,2,0.774;0.708,0.547992,0.708,0.16000799999999993
pg_naive,34,2,0.516;0.408,0.210528,0.408,0.19747199999999998
pg_naive,35,3,0.431;0.891;0.949,0.364435929,0.431,0.066564071
pg_naive,36,4,0.627;0.555;0.576;0.643,0.12888250848000002,0.555,0.42611749152
pg_naive,37,4,0.666;0.918;0.926;0.708,0.400830863904,0.666,0.265169136096
pg_naive,38,4,0.724;0.872;0.649;0.529,0.216748160288,0.529,0.312251839712
pg_naive,39,4,0.470;0.774;0.541;0.474,0.09328556052,0.47,0.37671443947999994
pg_naive,40,2,0.545;0.473,0.257785,0.473,0.215215
pg_naive,41,2,0.492;0.586,0.28831199999999996,0.492,0.20368800000000004
pg_naive,42,3,0.490;0.878;0.775,0.3334205,0.49,0.15657949999999998
pg_naive,43,2,0.604;0.354,0.21381599999999998,0.354,0.140184
pg_naive,44,4,0.594;0.737;0.713;0.594,0.185408614116,0.594,0.408591385884
pg_naive,45,4,0.524;0.651;0.351;0.712,0.085250981088,0.351,0.265749018912
pg_naive,46,4,0.526;0.630;0.644;0.539,0.11502730008000002,0.526,0.41097269992
pg_naive,47,4,0.647;0.701;0.709;0.510,0.16399805972999998,0.51,0.34600194027000003
pg_naive,48,3,0.943;0.322;0.592,0.17975843199999997,0.322,0.14224156800000004
pg_naive,49,2,0.356;0.786,0.279816,0.356,0.07618399999999997
pg_naive,50,3,0.781;0.380;0.853,0.25315334,0.38,0.12684666
pg_naive,51,4,0.406;0.721;0.921;0.491,0.132373917186,0.406,0.273626082814
pg_naive,52,2,0.512;0.932,0.47718400000000005,0.512,0.03481599999999996
pg_naive,53,4,0.318;0.444;0.620;0.411,0.03597854544,0.318,0.28202145456
pg_naive,54,4,0.922;0.634;0.803;0.781,0.36659518636400007,0.634,0.26740481363599994
pg_naive,55,3,0.403;0.852;0.523,0.179575188,0.403,0.22342481200000003
pg_naive,56,2,0.852;0.884,0.753168,0.852,0.09883200000000003
pg_naive,57,3,0.689;0.415;0.648,0.18528587999999996,0.415,0.22971412000000002
pg_naive,58,3,0.326;0.395;0.547,0.07043719000000002,0.326,0.25556281
pg_naive,59,2,0.634;0.396,0.251064,0.396,0.144936
pg_naive,60,2,0.578;0.697,0.40286599999999995,0.578,0.175134
pg_naive,61,2,0.878;0.938,0.823564,0.878,0.05443600000000004
pg_naive,62,4,0.779;0.341;0.636;0.486,0.08210795234400001,0.341,0.25889204765600005
pg_naive,63,2,0.518;0.929,0.48122200000000004,0.518,0.03677799999999998
pg_naive,64,4,0.863;0.430;0.914;0.860,0.2916915836,0.43,0.13830841639999997
pg_naive,65,2,0.869;0.920,0.7994800000000001,0.869,0.06951999999999992
pg_naive,66,2,0.367;0.938,0.344246,0.367,0.022753999999999996
pg_naive,67,4,0.440;0.595;0.424;0.880,0.09768281599999999,0.424,0.326317184
pg_naive,68,4,0.694;0.503;0.500;0.657,0.114673437,0.5,0.385326563
pg_naive,69,3,0.839;0.426;0.455,0.16262337,0.426,0.26337663
pg_naive,70,4,0.777;0.575;0.636;0.370,0.105135093,0.37,0.264864907
pg_naive,71,2,0.404;0.386,0.15594400000000003,0.386,0.23005599999999998
pg_naive,72,3,0.639;0.947;0.369,0.223294077,0.369,0.145705923
pg_naive,73,2,0.400;0.803,0.32120000000000004,0.4,0.07879999999999998
pg_naive,74,4,0.324;0.578;0.895;0.796,0.13341631824,0.324,0.19058368176
pg_naive,75,4,0.578;0.811;0.945;0.795,0.35216616645,0.578,0.22583383354999997
pg_naive,76,2,0.705;0.467,0.329235,0.467,0.13776500000000003
pg_naive,77,2,0.620;0.704,0.43648,0.62,0.18352000000000002
pg_naive,78,3,0.416;0.604;0.860,0.21608703999999998,0.416,0.19991296
pg_naive,79,4,0.329;0.807;0.673;0.848,0.15152362411200004,0.329,0.17747637588799997
pg_naive,80,2,0.473;0.839,0.39684699999999995,0.473,0.07615300000000003
pg_naive,81,3,0.335;0.806;0.887,0.23949887000000003,0.335,0.09550112999999999
pg_naive,82,3,0.426;0.893;0.648,0.246510864,0.426,0.179489136
pg_naive,83,2,0.474;0.612,0.29008799999999996,0.474,0.18391200000000002
pg_naive,84,2,0.334;0.326,0.10888400000000001,0.326,0.217116
pg_naive,85,4,0.769;0.802;0.779;0.549,0.263760957198,0.549,0.285239042802
pg_naive,86,3,0.696;0.559;0.382,0.14862244800000002,0.382,0.233377552
pg_naive,87,3,0.734;0.745;0.728,0.39809224000000004,0.728,0.32990775999999994
pg_naive,88,4,0.498;0.587;0.435;0.479,0.06091050698999999,0.435,0.37408949301
pg_naive,89,3,0.854;0.402;0.527,0.180923316,0.402,0.22107668400000002
pg_naive,90,3,0.816;0.965;0.450,0.354348,0.45,0.09565200000000001
pg_naive,91,4,0.533;0.756;0.620;0.480,0.1199173248,0.48,0.3600826752
pg_naive,92,2,0.655;0.525,0.34387500000000004,0.525,0.18112499999999998
pg_naive,93,4,0.959;0.302;0.673;0.410,0.07991429473999999,0.302,0.22208570526
pg_naive,94,2,0.759;0.395,0.29980500000000004,0.395,0.09519499999999997
pg_naive,95,3,0.814;0.673;0.534,0.292536948,0.534,0.241463052
pg_naive,96,2,0.555;0.602,0.33411,0.555,0.22089000000000003
pg_naive,97,4,0.825;0.309;0.350;0.446,0.03979379249999999,0.309,0.2692062075
pg_naive,98,2,0.488;0.733,0.35770399999999997,0.488,0.13029600000000002
pg_naive,99,3,0.809;0.878;0.607,0.43115331400000007,0.607,0.17584668599999992
py_guards,0,3,0.910;0.825;0.952,0.714714,0.825,0.110286
py_guards,1,3,0.320;0.748;0.878,0.21015808000000002,0.32,0.10984191999999998
py_guards,2,4,0.621;0.671;0.885;0.317,0.11690057659500001,0.317,0.20009942340499998
py_guards,3,3,0.970;0.726;0.694,0.4887286799999999,0.694,0.20527132000000003
py_guards,4,4,0.481;0.343;0.537;0.443,0.03924797085300001,0.343,0.303752029147
py_guards,5,4,0.879;0.668;0.337;0.723,0.143065044972,0.337,0.193934955028
py_guards,6,3,0.867;0.775;0.889,0.597341325,0.775,0.177658675
py_guards,7,3,0.885;0.936;0.663,0.54920268,0.663,0.11379731999999998
py_guards,8,4,0.429;0.756;0.736;0.611,0.145847205504,0.429,0.283152794496
py_guards,9,2,0.633;0.905,0.5728650000000001,0.633,0.06013499999999994
py_guards,10,2,0.649;0.763,0.49518700000000004,0.649,0.15381299999999998
py_guards,11,4,0.363;0.414;0.784;0.804,0.09472815475200001,0.363,0.26827184524799996
py_guards,12,4,0.929;0.409;0.731;0.648,0.17998296616799997,0.409,0.229017033832
py_guards,13,2,0.640;0.824,0.5273599999999999,0.64,0.11264000000000007
py_guards,14,3,0.744;0.349;0.964,0.250308384,0.349,0.09869161599999998
py_guards,15,4,0.493;0.526;0.339;0.641,0.056349542082000006,0.339,0.28265045791800003
py_guards,16,3,0.694;0.661;0.565,0.25918471,0.565,0.30581528999999996
py_guards,17,4,0.974;0.678;0.589;0.542,0.210815836536,0.542,0.33118416346400004
py_guards,18,3,0.683;0.869;0.696,0.413094792,0.683,0.26990520800000006
py_guards,19,3,0.796;0.964;0.731,0.560928464,0.731,0.17007153600000002
py_guards,20,3,0.528;0.588;0.391,0.12139142400000001,0.391,0.269608576
py_guards,21,3,0.384;0.672;0.707,0.182439936,0.384,0.201560064
py_guards,22,2,0.875;0.765,0.669375,0.765,0.09562499999999996
py_guards,23,3,0.796;0.677;0.561,0.30231841200000004,0.561,0.258681588
py_guards,24,4,0.650;0.705;0.663;0.579,0.17591163524999998,0.579,0.40308836475
py_guards,25,3,0.434;0.909;0.879,0.346770774,0.434,0.08722922599999999
py_guards,26,2,0.574;0.497,0.285278,0.497,0.21172200000000002
py_guards,27,3,0.454;0.459;0.440,0.09168984000000001,0.44,0.34831016
py_guards,28,4,0.371;0.885;0.718;0.575,0.13555310475,0.371,0.23544689525
py_guards,29,4,0.663;0.809;0.758;0.569,0.23133615983400002,0.569,0.33766384016599993
py_guards,30,2,0.371;0.537,0.19922700000000002,0.371,0.17177299999999998
py_guards,31,3,0.876;0.874;0.765,0.58570236,0.765,0.17929764000000004
py_guards,32,4,0.479;0.509;0.554;0.665,0.08982241051,0.479,0.38917758949
py_guards,33,2,0.774;0.708,0.547992,0.708,0.16000799999999993
py_guards,34,2,0.516;0.408,0.210528,0.408,0.19747199999999998
py_guards,35,3,0.431;0.891;0.949,0.364435929,0.431,0.066564071
